"stock_code","stock_name","market","industry_code","industry_name","source_url","source_as_of","synced_at","close_price","change_val","change_pct","volume","quote_date"
"9962",有益,TPEX_OTC,"10",鋼鐵工業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,"1150412","2026-04-13T14:37:21+0800",10.3,-0.05,-0.48%,111336,"2026-04-13"
"1260",富味鄉,TPEX_EMERGING,"02",食品工業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"1269",乾杯,TPEX_EMERGING,"16",觀光餐旅,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"1271",晨暉生技,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"1293",利統,TPEX_EMERGING,"02",食品工業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"1343",旭東環保,TPEX_EMERGING,"35",綠能環保,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"1480",東盟開發,TPEX_EMERGING,"10",鋼鐵工業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"1594",日高,TPEX_EMERGING,"05",電機機械,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"1780",立弘,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"2071",震南鐵,TPEX_EMERGING,"10",鋼鐵工業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"2237",華德動能,TPEX_EMERGING,"05",電機機械,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"2245",詠勝昌*,TPEX_EMERGING,"05",電機機械,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"2249",湧盛,TPEX_EMERGING,"05",電機機械,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"2252",為昇科,TPEX_EMERGING,"31",其他電子業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"2255",凱銳光電,TPEX_EMERGING,"31",其他電子業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"2256",歐特明,TPEX_EMERGING,"31",其他電子業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"2644",中信造船,TPEX_EMERGING,"15",航運業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"2733",維格餅家,TPEX_EMERGING,"16",觀光餐旅,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"2741",老四川,TPEX_EMERGING,"16",觀光餐旅,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"2758",路易莎咖啡,TPEX_EMERGING,"16",觀光餐旅,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"2760",巨宇翔,TPEX_EMERGING,"16",觀光餐旅,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"2761",橘焱胡同,TPEX_EMERGING,"16",觀光餐旅,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"2938",床的世界,TPEX_EMERGING,"38",居家生活,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"2940",歐都納,TPEX_EMERGING,"37",運動休閒,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"2942",京站,TPEX_EMERGING,"38",居家生活,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"3097",拍檔,TPEX_EMERGING,"25",電腦及週邊設備業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"3117",年程,TPEX_EMERGING,"28",電子零組件業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"3184",微邦,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"3473",智通聯網,TPEX_EMERGING,"27",通信網路業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"3485",敘豐,TPEX_EMERGING,"26",光電業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"3585",聯致,TPEX_EMERGING,"28",電子零組件業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"3595",山太士,TPEX_EMERGING,"26",光電業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"3603",建祥國際,TPEX_EMERGING,"29",電子通路業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"3633",云光,TPEX_EMERGING,"26",光電業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"3659",百辰,TPEX_EMERGING,"26",光電業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"3678",聯享,TPEX_EMERGING,"26",光電業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4115",善德生技,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4117",普生,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4150",優你康,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4170",鑫品生醫,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4172",因華,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4178",永笙-KY,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4186",尖端醫,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4194",禾生技,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4195",基米,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4197",暐世,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4431",敏成健康,TPEX_EMERGING,"20",其他,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4537",旭東,TPEX_EMERGING,"26",光電業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4544",春日,TPEX_EMERGING,"05",電機機械,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4546",長亨,TPEX_EMERGING,"05",電機機械,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4553",盛復,TPEX_EMERGING,"05",電機機械,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4559",久裕興,TPEX_EMERGING,"37",運動休閒,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
